@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
1,1,117.951,161.241,4.7,7.6,4.9,1.6,100,93,0.1,0,0,0,0,0,0,0,0,0,0
2,1,176.512,189.489,2,3.5,-1.1,0.5,100,97,25.9,0,0,0,0,0,0,0,0,0,0
3,1,150.712,175.181,3.6,8.1,1.3,1.3,60,82,0,0,0,2.4,1,0,0,0,0,0,0
4,1,124.166,160.691,1.9,3.6,-4,0.1,70,97,0.3,0,0,0.8,0,0,0,0,0,0,0
5,1,113.483,147.049,7,7.8,1.7,0,100,97,0,0,0,0,0,0,0,0,0,0,0
6,2,113.273,138.648,10.5,13.8,6,1.5,73,91,5,0,0,2.1,0,0,0,0,0,0,0
7,3,140.269,133.032,9,10.1,5.9,1.2,87,94,0.9,0,0,0,0,0,0,0,0,0,0
1,1,144.982,125.507,6.8,8.4,1.5,0.8,100,99,0.3,0,0,0,0,0,0,0,0,0,0
2,1,179.588,126.803,6.9,7.8,5.2,0.2,97,97,0.1,0,0,0,0,0,1,0,0,0,0
3,1,250.19,172.196,6.3,8.3,6,0.3,97,98,24,0,0,0,0,0,0,0,0,0,0
4,1,196.753,157.841,4.8,6,3,0.2,100,96,0.2,0,0,0,0,0,0,0,0,0,0
5,1,164.229,142.474,4.6,7.1,-2.5,0.6,67,90,0,0,0,5,0,0,0,0,0,0,0
6,2,131.416,129.362,4.8,6.2,3.3,1.5,67,78,0,0,0,0.7,0,0,0,0,0,0,0
7,3,107.432,111.578,1.5,4,2,1.8,100,81,0,0,0,0,0,0,0,0,0,0,0
1,1,107.952,110.261,0.2,1.4,-2.1,1,90,81,0.1,0,0,0,0,0,0,0,0,0,0
2,1,98.162,107.503,3.6,6.2,-0.6,0.1,97,94,1,1,1,0,0,0,0,0,0,0,0
3,1,93.985,105.788,3.6,6.9,3.3,0.8,63,77,0.4,0,0,0.7,1,0,0,0,0,0,0
4,1,90.101,103.028,4.4,9.5,-8.5,1.5,20,59,0.2,0,0,7.9,1,0,0,0,0,0,0
5,1,82.813,103.313,4.1,7.9,0.9,1.6,100,92,0,0,0,0,0,0,0,0,0,0,0
6,2,70.922,117.191,2.2,5.3,-0.5,0.2,70,88,14.4,0,0,4.4,0,0,0,0,0,0,0
7,3,73.876,113.271,5.5,10.5,-1.4,2.8,30,58,0,0,0,6.4,1,0,0,0,0,0,0
