@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q1-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,183-184-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SMOTE-C1-K5-P0.9-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P21.5-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P358.7-S1'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
0.166667,0,0.257062,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.631579,0.591549,0.12844,0.125874,0.060606,1,1,0,0,0,0,0,0,0,0,0,0.515021,0.496503,0.491166,0.518519,0.67,0.355932,0,0,0,0.458716,1,0,0,0,0,0,0.31875,0.391026,0.383178,0.5,0.3,0.695652,0,0,0,0.491071,0,0,0,0,0,0,0.393939,0.277193,0.311111,0.73,0.904762,0,0,0,0,0,0,0,0,0,0.402913,0.420139,0.545817,0.16129,0.57,0.741379,0,0,0,0.327586,0,0,0,0,0,0,0.390558,0.517123,0.413793,0.329412,0.23,0.526316,0,0,0,0.54717,1,0,0,0,0,0,0.316406,0.494845,0.436426,0.265625,0.13,0.777778,0,0,0,0.412844,0,0,0,0,0,0,0.284884,0.42439,0.21028,0.176471,0.27,0.792208,0,0,0,0.578947,0,0,0,0,0,0,0.26009,0.381944,0.347826,0.057971,0.43,0.796296,0,0,0,0.412844,0,0,0,0,0,0,0.385475,0.458333,0.316239,0.235849,0.3,0.644068,0,0,0,0.513514,0,0,0,0,0,0,4
0.333333,0,0.175141,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0,0.060976,0.014545,0.038961,0.605263,0.591549,0.33945,0.272727,0.212121,1,0.966102,0.002268,0,0,0,0,0,0,0,0,0.412017,0.384615,0.614841,0.12963,0.97,0.711864,0,0,0,0.06422,0,0,0,0,0,0,0.525,0.339744,0.462617,0.133333,0.97,0.898551,0.004545,0,0,0,0,0,0,0,0,0,0.502165,0.294737,0.288889,1,0.952381,0,0,0,0,0,0,0,0,0,0.470874,0.333333,0.577689,0.064516,1,0.87931,0.001927,0,0,0,0,0,0,0,0,0,0.240343,0.160959,0.434483,0.094118,0.97,0.947368,0,0,0,0,0,0,0,0,0,0,0.292969,0.175258,0.412371,0.171875,1,0.962963,0,0,0,0,0,0,0,0,0,0,0.488372,0.297561,0.359813,0.094118,1,1,0.005391,0,0,0,0,0,0,0,0,0,0.345291,0.260417,0.460145,0,1,0.962963,0,0,0,0,0,0,0,0,0,0,0.564246,0.375,0.576923,0.198113,1,0.847458,0.004405,0,0,0,0,0,0,0,0,0,2
0.5,0,0.175141,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0,0.060976,0.014545,0.038961,0.631579,0.591549,0.495413,0.461538,0.19697,0.77,0.677966,0.002268,0,0,0,0,0,0,0,0,0.459227,0.458042,0.70318,0.185185,0.67,0.661017,0,0,0,0.293578,0,0,0,0,0,0,0.40625,0.423077,0.537383,0.366667,0.43,0.768116,0.025,0,0,0.589286,0,0,0,0,0,0,0.47619,0.389474,0.133333,0.7,0.952381,0.079755,0,0,0,0,0,0,0,0,0.480583,0.409722,0.705179,0.112903,0.57,0.810345,0.084778,0,0,0.215517,0,0,0,0,0,0,0.420601,0.489726,0.527586,0.223529,0.67,0.614035,0,0,0,0.264151,0,0,0,0,0,0,0.453125,0.515464,0.542955,0.203125,0.67,0.62963,0,0,0,0.321101,0,0,0,0,0,0,0.488372,0.536585,0.588785,0.141176,0.77,0.701299,0.06469,0,0,0.464912,0,0,0,0,0,0,0.421525,0.420139,0.583333,0.101449,0.43,0.740741,0.021429,0,0,0.440367,0,0,0,0,0,0,0.575419,0.479167,0.594017,0.179245,0.7,0.576271,0.035242,0,0,0.315315,0,0,0,0,0,0,3
0.666667,0,0.175141,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0,0.060976,0.014545,0.038961,0.789474,0.732394,0.458716,0.444056,0.106061,0.63,0.779661,0,0,0,0,0,0,0,0,0,0.450644,0.367133,0.607774,0.074074,0.63,0.830508,0,0,0,0.082569,0,0,0,0,0,0,0.36875,0.333333,0.53271,0.2,0.4,0.855072,0,0,0,0.080357,0,0,0,0,0,0,0.393939,0.277193,0.222222,0.53,0.968254,0,0,0,0,0,0,0,0,0,0.383495,0.288194,0.525896,0.112903,0.6,0.87931,0,0,0,0.060345,0,0,0,0,0,0,0.454936,0.44863,0.503448,0.058824,0.73,0.754386,0,0,0,0.084906,0,0,0,0,0,0,0.453125,0.405498,0.573883,0.125,0.7,0.814815,0,0,0,0.091743,0,0,0,0,0,0,0.313953,0.321951,0.383178,0.082353,0.4,0.909091,0,0,0,0.04386,0,0,0,0,0,0,0.434978,0.388889,0.565217,0.057971,0.83,0.796296,0,0,0,0.027523,0,0,0,0,0,0,0.357542,0.3625,0.504274,0.04717,0.53,0.898305,0,0,0,0.018018,0,0,0,0,0,0,3
0.833333,0.5,0.522599,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.473684,0.450704,0.633028,0.597902,0.212121,0.73,0.661017,0.004535,0,0,0,0,0,0,0,0,0.763948,0.695804,0.717314,0.462963,0.57,0.101695,0,0,0,0.330275,1,0,0,0,0,0,0.35,0.371795,0.471963,0.366667,0.37,0.797101,0,0,0,0.482143,0,0,0,0,0,0,0.857143,0.750877,0.444444,0.6,0.269841,0,0,0,1,0,0,0,0,0,0.723301,0.715278,0.645418,0.5,0.33,0.275862,0,0,0,0.344828,1,0,0,0,0,0,0.609442,0.664384,0.648276,0.294118,0.57,0.508772,0.01278,0,0,0.641509,0,0,0,0,0,0,0.628906,0.656357,0.611684,0.515625,0.67,0.5,0.039007,0,0,0.302752,1,0,0,0,0,0,0.389535,0.492683,0.345794,0.164706,0.33,0.844156,0,0,0,0.596491,0,0,0,0,0,0,0.556054,0.635417,0.699275,0,0.67,0.611111,0,0,0,0.477064,0,0,0,0,0,0,0.726257,0.791667,0.504274,0,0.4,0.288136,0,0,0,0.378378,0,0,0,0,0,0,2
1,1,0.522599,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.184211,0.169014,0.46789,0.482517,0.242424,0.87,0.898305,0,0,0,0,0,0,0,0,0,0.416309,0.426573,0.59364,0.185185,0.7,0.779661,0,0,0,0.211009,0,0,0,0,0,0,0.46875,0.641026,0.420561,0.266667,0.1,0.782609,0,0,0,0.5625,0,0,0,0,0,0,0.528139,0.617544,0.222222,0.57,0.809524,0,0,0,0,0,0,0,0,0,0.485437,0.496528,0.545817,0.080645,0.4,0.758621,0,0,0,0.431034,0,0,0,0,0,0,0.429185,0.393836,0.648276,0.235294,0.83,0.824561,0,0,0,0.037736,0,0,0,0,0,0,0.464844,0.467354,0.742268,0.125,0.67,0.833333,0.003546,0,0,0,0,0,0,0,0,0,0.430233,0.687805,0.331776,0.117647,0.23,0.753247,0,0,0,0.578947,0,0,0,0,0,0,0.426009,0.427083,0.550725,0.101449,0.7,0.814815,0,0,0,0.293578,0,0,0,0,0,0,0.575419,0.625,0.529915,0.330189,0.2,0.644068,0,0,0,0.486486,0,0,0,0,0,0,1
0,0,0.522599,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.631579,0.591549,0.33945,0.297203,0.439394,0.83,0.898305,0,0,0,0,0,0,0,0,0,0.360515,0.262238,0.59364,0.148148,0.97,0.915254,0,0,0,0,0,0,0,0,0,0,0.4,0.705128,0.5,0.366667,0.03,0.782609,0,0,0,0.696429,0,0,0,0,0,0,0.450216,0.249123,0.133333,1,1,0,0,0,0,0,0,0,0,0,0.378641,0.270833,0.549801,0.241935,1,0.87931,0,0,0,0,0,0,0,0,0,0,0.339056,0.291096,0.5,0.188235,0.97,0.929825,0,0,0,0,0,0,0,0,0,0,0.371094,0.32646,0.608247,0.359375,1,0.87037,0.070922,0,0,0,0,0,0,0,0,0,0.476744,0.55122,0.303738,0.376471,0,0.597403,0,0,0,0.684211,0,0,0,0,0,0,0.273543,0.243056,0.507246,0.130435,0.8,0.888889,0,0,0,0,0,0,0,0,0,0,0.402235,0.395833,0.42735,0.301887,0.33,0.762712,0,0,0,0.558559,0,0,0,0,0,0,3
0.166667,0,0.257062,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.631579,0.591549,0.321101,0.244755,0.181818,0.97,0.949153,0.00907,0,0,0,0,0,0,0,0,0.381974,0.258741,0.632509,0,0.93,0.79661,0,0,0,0,0,0,0,0,0,0,0.4875,0.275641,0.476636,0.122222,0.8,0.695652,0,0,0,0,0,0,0,0,0,0,0.445887,0.305263,0.044444,0.9,0.809524,0.002045,0,0,0,0,0,0,0,0,0.412621,0.295139,0.505976,0.112903,0.97,0.551724,0,0,0,0.008621,0,0,0,0,0,0,0.321888,0.256849,0.562069,0.129412,0.97,0.964912,0.076677,0.068966,0.125,0,0,0,0,0,0,0,0.363281,0.233677,0.62543,0.171875,1,0.944444,0.134752,0,0,0,0,0,0,0,0,0,0.505814,0.307317,0.448598,0.047059,1,0.688312,0,0,0,0,0,0,0,0,0,0,0.304933,0.236111,0.460145,0.014493,0.97,0.759259,0.002381,0,0,0,0,0,0,0,0,0,0.497207,0.341667,0.534188,0.132075,0.9,0.542373,0,0,0,0.045045,0,0,0,0,0,0,2
0.333333,0,0.257062,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.631579,0.591549,0.389908,0.423077,0.030303,0.63,0.813559,0.004535,0,0,0,0,0,0,0,0,0.412017,0.405594,0.664311,0.037037,0.83,0.779661,0,0,0,0.155963,0,0,0,0,0,0,0.55,0.371795,0.635514,0.177778,0.83,0.782609,0,0,0,0,0,0,0,0,0,0,0.497835,0.375439,0.155556,0.9,0.857143,0,0,0,0,0,0,0,0,0,0.470874,0.375,0.641434,0.145161,0.87,0.741379,0,0,0,0.077586,0,0,0,0,0,0,0.407725,0.373288,0.606897,0.176471,0.7,0.877193,0.022364,0,0,0.141509,0,0,0,0,0,0,0.453125,0.367698,0.62543,0.171875,0.9,0.87037,0.031915,0,0,0.045872,0,0,0,0,0,0,0.563953,0.453659,0.443925,0.058824,0.93,0.831169,0,0,0,0.078947,0,0,0,0,0,0,0.358744,0.371528,0.586957,0.028986,0.83,0.759259,0,0,0,0.100917,0,0,0,0,0,0,0.597765,0.491667,0.57265,0.132075,0.93,0.694915,0,0,0,0.081081,0,0,0,0,0,0,3
0.5,0,0.257062,0.313187,0.062937,0.049251,0.055718,0.081186,0.126927,0.094444,0.023055,0.138408,0.073413,0.133603,0.027027,0.060976,0.014545,0.038961,0.631579,0.591549,0.463303,0.517483,0.151515,0.53,0.745763,0,0,0,0,0,0,0,0,0,0.493562,0.486014,0.60424,0.314815,0.77,0.610169,0,0,0,0.146789,1,0,0,0,0,0,0.5,0.282051,0.757009,0.022222,0.93,0.869565,0.006818,0,0,0,0,0,0,0,0,0,0.510823,0.442105,0.111111,0.87,0.777778,0,0,0,0,0,0,0,0,0,0.524272,0.444444,0.737052,0.274194,0.7,0.793103,0.015414,0,0,0.12069,0,0,0,0,0,0,0.403433,0.311644,0.527586,0.270588,0.9,0.947368,0,0,0,0,0,0,0,0,0,0,0.449219,0.333333,0.594502,0.046875,1,0.925926,0.007092,0,0,0,0,0,0,0,0,0,0.482558,0.312195,0.724299,0.117647,1,0.987013,0.013477,0,0,0,0,0,0,0,0,0,0.493274,0.517361,0.554348,0.115942,0.67,0.666667,0,0,0,0.036697,1,0,0,0,0,0,0.558659,0.3625,0.786325,0.141509,1,0.932203,0.014684,0,0,0,0,0,0,0,0,0,3
