@relation 'model-2018, 4, y 2018 class2 SLO-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class2_callin_slo {0,1}

@data
1,1,123.2,207.75,18.109,70.465,41.258,117.951,322.624,518.003,45.378,112.901,120.933,161.241,150.679,33.599,21.461,35.779,17,2,7.2,10,1.4,97,82,0,0,0,0,0,0,0,0,0,5.8,10.3,5.8,4.3,87,85,0,0,0,0,1,0,0,0,0,0,8.2,13,5,1.5,93,87,0,0,0,0,1,0,0,0,0,0,3.5,5.5,3,100,98,0,0,0,0,0,0,0,0,0,4.7,7.6,4.9,1.6,100,93,0.1,0,0,0,0,0,0,0,0,0,5.9,11.4,-0.2,4.8,87,83,0,0,0,0,1,0,0,0,0,0,6.6,9.8,5.5,3.2,87,78,0,0,0,0,1,0,0,0,0,0,5.9,8,3.8,1.4,100,97,1.4,0,0,0,0,0,0,0,0,0,5.8,8.3,4.1,1.1,93,90,0,0,0,0,0,0,0,0,0,0,4.3,8.1,3.3,3.9,100,93,1.7,0,0,0.3,0,0,0,0,0,0,0
2,1,135.47,279.375,42.381,129.543,56.548,176.512,421.051,717.391,56.306,159.06,227.216,189.489,256.873,57.009,27.681,65.163,21,15,4.3,6.5,3.6,97,94,17.8,0,0,0,0,0,0,0,0,1.6,5.9,-1.7,3.1,77,90,17.7,0,0,0.3,0,0,0,0,0,0,4,10.6,1.1,2.2,73,90,19.9,0,0,2.9,0,0,0,0,0,0,0.6,2.7,0.8,100,99,17.6,0,0,0,0,0,0,0,0,2,3.5,-1.1,0.5,100,97,25.9,0,0,0,0,0,0,0,0,0,1.8,6.4,1,0.8,77,95,14.6,0,0,0.6,0,0,0,0,0,0,2,4.9,1.1,1.4,77,93,10,0,0,0,0,0,0,0,0,0,2.4,11,-1,1.4,80,90,33.4,0,0,4.2,0,0,0,0,0,0,3.5,4.5,3.1,1.6,100,94,12.6,0,0,0,0,0,0,0,0,0,1.5,6.5,-0.4,1,80,92,49.9,0,0,0.9,0,0,0,0,0,0,0
3,1,128.871,239.667,25.756,87.452,53.094,150.712,380.006,650.58,42.113,168.782,166.339,175.181,198.378,34.899,16.152,36.908,31,6,4.7,9.4,1.5,90,79,0,0,0,0,0,0,0,0,0,2.1,8.7,-4.7,2.8,80,80,0,0,0,2.6,1,0,0,0,0,0,5.7,12.8,-1.2,2.4,57,81,0,0,0,2.5,0,0,0,0,0,0,0.4,5.7,1.8,80,91,0,0,0,0,0,0,0,0,0,3.6,8.1,1.3,1.3,60,82,0,0,0,2.4,1,0,0,0,0,0,3.8,9.1,-5.7,4.6,80,70,0,0,0,2.6,1,0,0,0,0,0,2.2,8,-5.1,2.3,93,80,0,0,0,2.6,1,0,0,0,0,0,1.5,7.4,-3.9,0.7,73,94,0,0,0,0.2,0,0,0,0,0,0,4,9.2,0.9,2.2,60,82,0,0,0,3.4,0,0,0,0,0,0,1.4,6.8,-4.5,3.5,67,91,0,0,0,1.8,1,0,0,0,0,0,0
4,1,120.986,268.208,18.842,70.14,42.75,124.166,341.11,599.862,35.476,143.592,130.829,160.691,147.739,23.674,11.477,34.179,44,24,3.3,5.6,1.1,93,97,2.2,0,0,0,0,0,0,0,0,4.1,7,-6.1,1.7,57,79,0,0,0,0,1,0,0,0,0,0,6.1,9.5,-0.2,1.1,77,93,0.7,0,0,0.1,0,0,0,0,0,0,0.6,3.6,1.1,87,93,0,0,0,0,0,0,0,0,0,1.9,3.6,-4,0.1,70,97,0.3,0,0,0.8,0,0,0,0,0,0,2.6,7,-6.2,2.9,57,79,0,0,0,0,0,0,0,0,0,0,1.5,5.3,-4.8,1.2,37,88,0,0,0,0.7,0,0,0,0,0,0,4.4,7.7,-2.6,0.6,90,95,0.4,0,0,0.3,0,0,0,0,0,0,3.2,7.2,0.1,1.4,83,95,4.2,0,0,1,0,0,0,0,0,0,5.1,7.1,-1.2,3.8,100,94,6.3,0,0,0.6,0,0,0,0,0,0,0
5,1,123.207,269.125,15.63,54.974,40.755,113.483,308.256,545.953,31.712,119.264,110.741,147.049,139.657,24.737,20.413,28.706,48,31,8.8,13.2,2.8,83,81,0,0,0,0,0,0,0,0,0,8.7,12.6,1.8,3.1,60,81,0,0,0,2.8,0,0,0,0,0,0,11.4,12.4,3,1.5,97,92,0,0,0,0,0,0,0,0,0,0,5.5,6.5,1.7,100,97,0,0,0,0,0,0,0,0,0,7,7.8,1.7,0,100,97,0,0,0,0,0,0,0,0,0,0,8.7,12.7,-1.7,5.7,60,79,0,0,0,3.4,1,0,0,0,0,0,7.4,11.7,-1.9,2.2,60,83,0.1,0,0,1.3,0,0,0,0,0,0,8,8.9,5.1,0.5,100,97,0,0,0,0,0,0,0,0,0,0,9.2,11,2.8,2.1,93,85,0,0,0,0.4,0,0,0,0,0,0,7.8,8.2,4.9,4.4,100,99,0.1,0,0,0,0,0,0,0,0,0,0
6,2,125.708,211.542,13.724,51.069,43.882,113.273,290.023,435.768,36.941,98.815,108.684,138.648,200.938,49.732,51.377,29.713,29,11,10.1,15,2,67,84,0,0,0,0,0,0,0,0,0,12.9,14.5,7.8,4.4,70,71,0.1,0,0,0.9,1,0,0,0,0,0,12.2,15.9,9.2,2.7,83,89,3.3,0,0,0.4,0,0,0,0,0,0,8.3,11.9,1.8,93,94,1.7,0,0,0,0,0,0,0,0,10.5,13.8,6,1.5,73,91,5,0,0,2.1,0,0,0,0,0,0,12.3,15.3,6.3,5,70,71,0,0,0,7.1,1,0,0,0,0,0,12.1,15.5,3.2,2.7,50,71,0,0,0,5.5,1,0,0,0,0,0,10.1,12.5,7.8,0.8,100,98,7.6,0,0,0,0,0,0,0,0,0,12,15.3,7,1.6,93,74,0,0,0,1.2,0,0,0,0,0,0,9.3,10.2,7.4,3,100,99,8.2,0,0,0,0,0,0,0,0,0,0
7,3,119.141,212,12.937,54.473,61.145,140.269,304.904,460.357,39.651,81.867,141.938,133.032,271.469,42.981,34.427,31.167,23,9,8.1,14.5,0.6,63,89,0,0,0,0,0,0,0,0,0,9.1,14.5,5.7,1.8,70,81,0,0,0,1.3,0,0,0,0,0,0,13.1,14.9,8.1,1.4,90,86,0,0,0,0,0,0,0,0,0,0,7.2,9.7,1.4,83,93,0.3,0,0,0,0,0,0,0,0,9,10.1,5.9,1.2,87,94,0.9,0,0,0,0,0,0,0,0,0,8.6,15.5,4.7,3.9,70,78,0,0,0,6.3,1,0,0,0,0,0,5.7,12.4,0,1.6,33,94,0,0,0,5.3,0,0,0,0,0,0,10.4,13,9,0.4,90,96,16.3,0,0,0,0,0,0,0,0,0,9.7,14.4,4.1,1.7,70,85,0,0,0,0.6,0,0,0,0,0,0,9.6,10.8,5,2,100,97,2.7,0,0,0,0,0,0,0,0,0,0
1,1,115.488,257.75,11.586,49.934,78.583,144.982,314.52,473.791,34.256,68.198,114.589,125.507,248.534,29.347,20.488,26.836,51,23,5.9,7.6,0.6,100,99,0,0,0,0,0,0,0,0,0,5.3,7.1,0.8,0.8,100,98,0,0,0,0,0,0,0,0,0,0,12.6,16.7,6.8,1.5,87,82,0,0,0,1.3,0,0,0,0,0,0,5.5,7.3,0.6,100,100,0.4,0,0,0,0,0,0,0,0,6.8,8.4,1.5,0.8,100,99,0.3,0,0,0,0,0,0,0,0,0,5,6.1,2.4,0.7,100,98,0,0,0,0,0,0,0,0,0,0,5.7,6.3,4.5,1.3,100,98,0,0,0,0,0,0,0,0,0,0,10.8,14.5,6.4,1,87,94,0.4,0,0,1.1,0,0,0,0,0,0,8.4,13.9,3.4,0.5,63,88,0,0,0,4.1,0,0,0,0,0,0,7.7,11.5,0.8,1,93,95,0.1,0,0,0.5,0,0,0,0,0,0,0
2,1,115.213,364.542,10.999,45.1,90.334,179.588,331.236,457.273,41.963,58.631,89.623,126.803,259.936,27.002,24.853,29.195,41,25,7.2,8.5,1.8,97,93,0,0,0,0,0,0,0,0,0,6.4,7.3,4.6,1,100,94,0,0,0,0,0,0,0,0,0,0,13.3,15.9,10.8,6.1,90,78,0,0,0,0,1,1,0,0,0,0,5.9,7.2,1.5,100,98,0,0,0,0,0,0,0,0,0,6.9,7.8,5.2,0.2,97,97,0.1,0,0,0,0,0,1,0,0,0,5.5,6.3,5.1,1.7,100,98,0,0,0,0,0,0,0,0,0,0,6,6.8,5.6,1.6,100,95,0,0,0,0,0,0,0,0,0,0,12.3,15.3,8.7,3.9,93,78,0.1,0,0,0,1,0,1,0,0,0,6.8,8.1,5.4,1.6,100,92,0,0,0,0,0,0,0,0,0,0,8,10.9,6.2,3.1,100,96,0,0,0,0,1,0,1,0,0,0,0
3,1,144.304,373.625,20.189,156.362,133.448,250.19,501.308,758.425,64.293,152.161,317.16,172.196,366.635,51.828,38.778,58.696,51,23,5.4,10.6,1.1,83,93,17,0,0,0,0,0,0,0,0,4.5,10.3,5,0.9,87,93,22.6,0,0,3.1,0,0,0,0,0,0,7.2,12.4,8,2.9,73,87,8.1,0,0,3.9,0,0,0,0,0,0,5.6,9.1,0.8,83,97,27.4,0,0,0,0,0,0,0,0,6.3,8.3,6,0.3,97,98,24,0,0,0,0,0,0,0,0,0,6.2,8.7,4.8,0.9,87,93,8.5,0,0,1,0,0,0,0,0,0,5.1,6.1,4.4,1.4,100,96,7,0,0,0,0,0,0,0,0,0,7,12.2,7.3,1.5,97,91,32.1,0,0,2,0,0,0,0,0,0,5.6,10.7,5.2,1,97,91,35.8,0,0,2.9,0,0,0,0,0,0,3.9,7.6,4.3,1,100,98,27.6,0,0,0.4,0,0,0,0,0,0,0
